time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.892,3711.0,3711.0,3643.880000000001,-0.4787536935306328,-0.46852853260689165,0.45865999999999985
0.896,3714.0,3714.0,3647.869999999999,-0.4807899284904726,-0.4707561223773258,0.4620099999999998
0.901,3717.0,3717.0,3651.5699999999997,-0.48313801925497263,-0.4729766931435501,0.46509
0.906,3720.0,3720.0,3655.84,-0.48528432096939844,-0.47520253911774224,0.4687199999999998
0.911,3723.0,3723.0,3659.5800000000017,-0.48770578957028904,-0.47743988418381234,0.47207999999999983
0.916,3727.0,3727.0,3663.8899999999994,-0.4899254691211054,-0.47969371911023634,0.4758399999999998
0.921,3729.0,3729.0,3667.709999999999,-0.4922919043447031,-0.48195532503985666,0.47919
0.926,3734.0,3734.0,3671.7599999999984,-0.4943831726818359,-0.4842104415092679,0.48282999999999987
0.931,3738.0,3738.0,3675.3300000000017,-0.4969513969555077,-0.486480344116072,0.4860399999999998
0.936,3740.0,3740.0,3679.75,-0.49933617663820307,-0.4887911795033108,0.49007999999999985
0.942,3742.0,3742.0,3683.7000000000007,-0.5016842674027031,-0.4911130306834762,0.49371999999999994
0.947,3747.0,3747.0,3687.5499999999993,-0.5041791138399844,-0.4934546187001227,0.4973399999999999
0.952,3749.0,3749.0,3691.5800000000017,-0.5063987933908007,-0.4957993123429095,0.5012599999999998
0.957,3753.0,3753.0,3695.0,-0.5085267506461288,-0.4981101510972606,0.5044899999999999
0.962,3757.0,3757.0,3698.34,-0.5109482192470196,-0.5004138323733304,0.50772
0.967,3760.0,3760.0,3702.1699999999983,-0.5134980990615937,-0.5027535712456197,0.5113699999999999
0.972,3763.0,3763.0,3706.1100000000006,-0.5160479788761679,-0.5051349445768788,0.5153099999999999
0.978,3764.0,3764.0,3709.7700000000004,-0.5185061363952539,-0.5075406171814548,0.5189699999999999
0.983,3769.0,3769.0,3713.25,-0.5210009828325352,-0.5099603229516637,0.5225199999999999
0.988,3770.0,3770.0,3716.720000000001,-0.5238810629108671,-0.5124330785369635,0.5261899999999999
0.994,3776.0,3776.0,3720.720000000001,-0.5263575648890507,-0.5149465561104377,0.5303
0.999,3778.0,3778.0,3724.119999999999,-0.5287056556535508,-0.5174399870211203,0.5338499999999999
1.003,3781.0,3781.0,3727.2700000000004,-0.5312738799272226,-0.5199264293432908,0.5370899999999998
1.008,3783.0,3783.0,3730.6699999999983,-0.5341172710873593,-0.5224563337315734,0.5407499999999998
1.014,3787.0,3787.0,3734.1500000000015,-0.5372174846748633,-0.5250737897570936,0.54443
1.02,3791.0,3791.0,3738.0699999999997,-0.5403360427214647,-0.5277887100392166,0.5486599999999999
1.025,3793.0,3793.0,3741.9300000000003,-0.5432528117179921,-0.5305636117359266,0.55274
1.031,3795.0,3795.0,3745.3199999999997,-0.5462613030100077,-0.5333757073857162,0.55653
1.036,3799.0,3799.0,3748.790000000001,-0.5488111828245821,-0.5361812826780386,0.5604399999999998
1.041,3801.0,3801.0,3751.5099999999984,-0.5512693403436679,-0.5389271116552706,0.5635399999999999
1.045,3804.0,3804.0,3754.209999999999,-0.5538008756991445,-0.5416232143766475,0.5664799999999999
1.049,3807.0,3807.0,3756.959999999999,-0.5563874444319139,-0.5442921637468646,0.5695399999999999
1.054,3809.0,3809.0,3759.6899999999987,-0.5589923576237813,-0.5469466086020559,0.5726199999999999
1.058,3810.0,3810.0,3762.3199999999997,-0.5617073375702343,-0.5496021434917832,0.57572
1.062,3814.0,3814.0,3764.9900000000016,-0.5644406619757851,-0.5522712732743426,0.5787899999999999
1.067,3815.0,3815.0,3767.6100000000006,-0.5677426646133633,-0.5550094567762697,0.5817399999999999
1.072,3818.0,3818.0,3770.6899999999987,-0.5706227446916953,-0.5578175507191095,0.5853999999999999
1.076,3820.0,3820.0,3773.3100000000013,-0.5735945470655156,-0.5606489933146453,0.5884999999999998
1.081,3824.0,3824.0,3775.9500000000007,-0.5766947606530195,-0.563520965704333,0.5915999999999999
1.085,3824.0,3824.0,3778.630000000001,-0.5797399408632304,-0.5664327069094185,0.5948399999999998
1.09,3828.0,3828.0,3781.1500000000015,-0.5833537993054687,-0.5694272209709208,0.59792
1.095,3831.0,3831.0,3784.119999999999,-0.5870593800431954,-0.572553529779229,0.6015699999999999
1.1,3832.0,3832.0,3786.9900000000016,-0.5910217832082891,-0.5758200492693051,0.60497
1.105,3836.0,3836.0,3790.040000000001,-0.5949658419142851,-0.5792226243951348,0.6087799999999999
1.11,3838.0,3838.0,3792.8199999999997,-0.5992584453431368,-0.5827670096368738,0.6121399999999999
1.115,3840.0,3840.0,3795.84,-0.6031841595900351,-0.5864232914127193,0.61595
1.12,3843.0,3843.0,3798.4799999999996,-0.6076785520689609,-0.5901892899347146,0.6193099999999998
1.125,3845.0,3845.0,3801.2999999999993,-0.6127599672390116,-0.5941577548296358,0.6229699999999998
1.131,3848.0,3848.0,3804.4000000000015,-0.6176029044407929,-0.5983231001207469,0.6269199999999999
1.136,3852.0,3852.0,3807.2400000000016,-0.6227576974472344,-0.6026535876543812,0.6305699999999999
1.141,3853.0,3853.0,3810.1500000000015,-0.6280225572082617,-0.6071582953893573,0.63425
1.146,3856.0,3856.0,3812.9399999999987,-0.633874439660414,-0.6118717616077419,0.63791
1.152,3859.0,3859.0,3815.91,-0.6397813554898594,-0.6168162298664334,0.64171
