time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
1.216,-0.7783203125,-0.9885941825615188,-0.75279296875,-0.7233400000000001
1.221,-0.78076171875,-0.9913883022363272,-0.7557421875,-0.72641
1.225,-0.78369140625,-0.9942052124468201,-0.75859375,-0.7294400000000001
1.229,-0.78662109375,-0.9969537510502615,-0.76146484375,-0.7324600000000001
1.234,-0.78955078125,-0.9997250801893873,-0.7643554687499999,-0.7354
1.238,-0.79345703125,-1.0025283160784682,-0.767265625,-0.73845
1.242,-0.79638671875,-1.0053497843960955,-0.77025390625,-0.74133
1.247,-0.7998046875,-1.0082213918922296,-0.7731640625,-0.7444999999999999
1.251,-0.8017578125,-1.0110291858884484,-0.776171875,-0.74742
1.256,-0.8046875,-1.0138506542060775,-0.7791210937499999,-0.75044
1.26,-0.8076171875,-1.016640215773748,-0.7820703124999999,-0.7534700000000001
1.264,-0.810546875,-1.019429777341422,-0.78505859375,-0.75654
1.269,-0.81396484375,-1.0222649199804597,-0.7880859375,-0.7595799999999999
1.273,-0.8173828125,-1.0251274112623197,-0.79109375,-0.7627200000000001
1.278,-0.8203125,-1.027953437687085,-0.79412109375,-0.7656099999999999
1.282,-0.8232421875,-1.0307703478975778,-0.7971484375,-0.76864
1.286,-0.82568359375,-1.0335690256795242,-0.8002539062499999,-0.77165
1.291,-0.82861328125,-1.0363585872471948,-0.8033203125,-0.77467
1.295,-0.83056640625,-1.0390843353149535,-0.80640625,-0.77773
1.299,-0.83447265625,-1.0418146414898466,-0.80955078125,-0.7806200000000001
1.304,-0.83837890625,-1.0446315517003395,-0.812734375,-0.78363
1.308,-0.84130859375,-1.047471252446515,-0.8159375,-0.78667
1.312,-0.84375,-1.0502699302284615,-0.81923828125,-0.78969
1.317,-0.845703125,-1.0530367012604493,-0.82251953125,-0.7927200000000001
1.321,-0.84912109375,-1.0557670074353425,-0.82587890625,-0.79576
1.325,-0.85205078125,-1.0585383365744683,-0.82921875,-0.7986899999999999
1.33,-0.85546875,-1.0612959913921838,-0.83259765625,-0.80173
1.334,-0.85791015625,-1.0640445299956234,-0.8360546875,-0.8047599999999999
1.338,-0.86083984375,-1.0668249753490233,-0.83958984375,-0.80782
