time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
13.83,-21171.0,1.825436979752344,99650,1.852094715070458,101060.10990523618,1.85747,1.8803464949009059
13.835,-21165.0,1.822665567333692,99457,1.8487790045136336,100881.97619212112,1.8542,1.871770245657458
13.839,-21159.0,1.8198941549150391,99265,1.845527648935532,100702.14388402298,1.85093,1.8597948431992821
13.843,-21152.0,1.816660840426612,99067,1.8423057328902044,100520.518226984,1.84782,1.8518703751823238
13.848,-21144.0,1.812965623868408,98860,1.8390551627040568,100336.42449628664,1.84454,1.856847168961906
13.852,-21136.0,1.809270407310205,98651,1.8357520198453148,100149.50421274189,1.84128,1.8515055044441726
13.857,-21128.0,1.805575190752002,98434,1.8324025202331369,99959.50039927142,1.83786,1.8447108842829176
13.861,-21120.0,1.801879974193799,98214,1.829012144848758,99766.12734503168,1.8346,1.841976822353394
13.865,-21115.0,1.799570463844922,97979,1.8256676459754344,99568.71929835997,1.83133,1.8389093078403822
13.87,-21108.0,1.796337149356494,97746,1.822390905861529,99366.98480959208,1.82793,1.8299545858513215
13.875,-21100.0,1.792641932798291,97509,1.8190919937193064,99161.317179927,1.82449,1.838381046735363
13.879,-21092.0,1.7889467162400878,97273,1.8157462246057487,98952.00409127958,1.82121,1.8470515122253077
13.883,-21086.0,1.7861753038214356,97025,1.812413751541728,98738.82627237304,1.81793,1.8466624349015262
13.888,-21077.0,1.7820181851934571,96774,1.809065696023316,98521.35390783518,1.81466,1.8427937851113516
13.892,-21070.0,1.778784870705029,96521,1.8056765939905712,98299.79917540064,1.8114,1.8424240003009433
13.897,-21062.0,1.7750896541468262,96255,1.8022786050179365,98073.75799203868,1.80816,1.8318261100467828
13.901,-21055.0,1.7718563396583984,95988,1.7988727798509263,97842.93316879027,1.80492,1.8361190452256126
13.905,-21049.0,1.7690849272397462,95713,1.795514657896852,97607.35824175928,1.8018,1.8024198036160135
13.91,-21042.0,1.7658516127513184,95430,1.7921985989761162,97366.648960133,1.79857,1.8220357714704747
13.914,-21036.0,1.763080200332666,95146,1.7889196297746002,97120.88032669686,1.79531,1.8199452525154218
13.919,-21027.0,1.7589230817046877,94857,1.7856187521004836,96870.29582848972,1.79194,1.8057819508092934
13.923,-21020.0,1.75568976721626,94576,1.7822712498492923,96615.64222048728,1.78888,1.792911476722704
13.927,-21012.0,1.7519945506580568,94293,1.7789099421165715,96357.7553174362,1.78571,1.788474098778895
13.932,-21005.0,1.748761236169629,94016,1.7755364611905984,96097.25387690314,1.78253,1.785416595009306
13.936,-20998.0,1.7455279216812012,93743,1.772179552814618,95835.0382021654,1.77922,1.782489915316648
13.941,-20993.0,1.7432184113323244,93472,1.7688918704330574,95571.6656797372,1.77605,1.7793419347236257
