time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
9.069,0.17775756747685545,0.17305263624143458,-0.1003467286148636,0.78083984375,0.6766099999999997
9.074,0.1782168893566407,0.17403030900344796,-0.09948068825888612,0.7845703125000001,0.6798599999999999
9.079,0.1782168893566407,0.17485978090951015,-0.09868301950996017,0.788046875,0.6831299999999998
9.083,0.17913553311621033,0.17561591633999482,-0.09793548993953927,0.7915234375000001,0.6862499999999998
9.088,0.18005417687578085,0.17640424895340817,-0.09716061172629598,0.7947070312500001,0.6893599999999998
9.093,0.18097282063535136,0.17721839963924949,-0.09641764026301036,0.7980078125000001,0.6924299999999999
9.097,0.18235078627470713,0.17809875504187972,-0.09559718097840175,0.8014257812500001,0.6956199999999999
9.102,0.18235078627470713,0.17894119449216747,-0.09473569872956222,0.8044921875000001,0.6989499999999997
9.107,0.18372875191406202,0.17975323013955363,-0.09396537862345689,0.8077148437500001,0.7019899999999999
9.112,0.18418807379384727,0.18058638766363982,-0.09310389637461558,0.8109765625,0.7052699999999998
9.117,0.1851067175534178,0.1813909803790319,-0.09221962359009339,0.81419921875,0.7088099999999997
9.122,0.1860253613129883,0.18221816961211196,-0.09135814134125386,0.8170312500000001,0.7121099999999998
9.127,0.18740332695234319,0.18310898028213954,-0.09056958880660115,0.8202343750000001,0.7150999999999998
9.133,0.18786264883212844,0.1840053054207517,-0.08955768902224914,0.8231640625000001,0.7189999999999999
9.138,0.1883219707119137,0.18481504869648904,-0.0887873689161447,0.8260156250000001,0.7219999999999998
9.143,0.18969993635126947,0.18564636802816598,-0.08789853802448366,0.8291015625000001,0.7255199999999997
9.148,0.19107790199062524,0.186585992400358,-0.08695045174004612,0.8318750000000001,0.7290299999999998
9.154,0.1915372238704096,0.18752145996024172,-0.08606162084838687,0.8347265625000001,0.7323799999999998
9.159,0.19245586762998013,0.18840809239693995,-0.08514544131390522,0.8375195312500001,0.7358899999999997
9.164,0.1938338332693359,0.18934656900531252,-0.08422470367228829,0.8403125,0.7392599999999998
9.17,0.19429315514912116,0.19028111620363902,-0.08327661738785164,0.8428320312500001,0.7428599999999999
9.175,0.19567112078847604,0.1912125125116098,-0.08241513513901211,0.8453906250000001,0.7460899999999997
9.18,0.19567112078847604,0.19209588031869768,-0.08153542046162521,0.8479101562500001,0.7494699999999999
9.185,0.19750840830761707,0.19298623722167657,-0.08064203146282889,0.8505859375000001,0.7528199999999998
9.19,0.19842705206718758,0.19397320226634956,-0.07969394517839046,0.8530664062500001,0.7562799999999998
9.196,0.1993456958267572,0.19494663106382362,-0.07879599807245619,0.8555273437500001,0.7595099999999999
9.201,0.19980501770654246,0.19586370361647015,-0.07789805096652369,0.8580078125000001,0.7628799999999998
9.206,0.20072366146611298,0.19673558558166876,-0.07700010386058942,0.8602734375000001,0.7662599999999997
9.211,0.20210162710546875,0.19766223417569714,-0.07616597025456961,0.86275390625,0.7693699999999999
9.216,0.202560948985254,0.19858729680105053,-0.075213325862995,0.86505859375,0.7730099999999998
9.221,0.2039389146246089,0.19951108767992184,-0.07435184361415548,0.86740234375,0.7761399999999998
9.226,0.20439823650439415,0.20043385877880632,-0.07344022218681179,0.86994140625,0.7794999999999999
9.232,0.20623552402353518,0.20140131402794492,-0.07241920618818742,0.8723046875,0.7832299999999999
9.237,0.20669484590332043,0.20240460031951332,-0.07147111990374899,0.8746875000000001,0.7867399999999998
9.243,0.2071541677831057,0.20330011292482544,-0.07049568497649172,0.87716796875,0.7903899999999997
9.249,0.20807281154267532,0.20415470653647286,-0.06956583112060066,0.8794921875000001,0.7940199999999997
9.254,0.20991009906181635,0.2051129939403752,-0.06861774483616401,0.8819531250000001,0.7975299999999999
9.26,0.21082874282138686,0.2061544306634179,-0.06761951937322142,0.88427734375,0.8011799999999998
9.265,0.2117473865809565,0.20717153886416556,-0.06668054930305889,0.8866406250000001,0.8045499999999999
9.27,0.212666030340527,0.2081691386640675,-0.06569144005438954,0.8889453125000001,0.8081599999999998
9.276,0.21358467410009752,0.20915109519147881,-0.06475246998422701,0.89130859375,0.8115599999999998
9.281,0.2149626397394533,0.21016600967591023,-0.06379070937837916,0.8935742187500001,0.8150999999999997
9.286,0.21634060537880817,0.21125285416241202,-0.06282894877253131,0.8959375,0.8184999999999998
9.292,0.21679992725859343,0.21230637365194757,-0.061803374666768995,0.8983007812500001,0.8221499999999997
9.297,0.2181778928979492,0.2133331707047024,-0.06082793973951173,0.9005468750000001,0.8255599999999998
9.302,0.21863721477773446,0.21433853973967748,-0.05988896966934654,0.9026757812500001,0.8289599999999997
9.307,0.22001518041708934,0.21532672621193424,-0.059000138777686395,0.904765625,0.8321999999999998
9.312,0.2213931460564451,0.21639213820989484,-0.05810674977889008,0.9070312500000001,0.8351899999999999
9.317,0.22231178981601563,0.21747397343667546,-0.05711308242308544,0.9092968750000001,0.8387299999999998
9.322,0.22323043357558614,0.21852347613286066,-0.05610574074587049,0.9117968750000001,0.8421499999999997
9.328,0.22414907733515577,0.21954705222489107,-0.0550300274616049,0.9143359375000001,0.8459299999999998
9.334,0.2259863648542968,0.2206408422262482,-0.053922407427381636,0.9166601562500001,0.8497199999999998
9.339,0.2259863648542968,0.22169993114109598,-0.052928740071576996,0.91888671875,0.8531199999999999
9.344,0.2269050086138673,0.22264019039932745,-0.05199432810854976,0.9213671875,0.8563699999999999
9.35,0.2282829742532222,0.22362166894254268,-0.05098242832419775,0.9235546875,0.8599999999999999
9.355,0.22966093989257796,0.22468170202899354,-0.0500480163611714,0.9256835937500001,0.8631499999999999
9.359,0.23057958365214848,0.22575922404839674,-0.04915918546951037,0.9278906250000001,0.8661699999999999
9.364,0.231498227411719,0.22680526809726134,-0.04822021539934784,0.9299804687500001,0.8692999999999997
9.369,0.23241687117128862,0.22782607079115866,-0.04734050072196094,0.9320703125,0.8722899999999998
9.373,0.23333551493085913,0.22882663310774826,-0.046469902258847284,0.9341406250000001,0.8752899999999999
9.378,0.2337948368106444,0.2297654633142647,-0.04561297811714393,0.93634765625,0.8781699999999999
9.382,0.23517280245000016,0.23070029405362363,-0.044737821546894985,0.9385937500000001,0.8811799999999999
9.387,0.23655076808935505,0.2317229214955736,-0.043794293369594506,0.940859375,0.8842999999999999
9.392,0.2370100899691403,0.23272494702953508,-0.0428416489780199,0.94333984375,0.8874399999999998
9.397,0.23838805560849607,0.2337104524364477,-0.041852539729350546,0.94576171875,0.8907499999999997
9.402,0.23884737748828133,0.23468271078887085,-0.04090901155205007,0.9484179687500001,0.8939099999999998
9.407,0.23976602124785096,0.2355988447924783,-0.03987887933915246,0.9510351562500001,0.8974599999999997
9.412,0.241603308766992,0.2366064798147851,-0.038844189019116904,0.9536718750000001,0.9010099999999999
9.418,0.24344059628613302,0.23777849086235883,-0.0377411270920307,0.9563867187500001,0.9044399999999997
9.423,0.24389991816591738,0.23894580505758659,-0.036692762450585725,0.9594921875000001,0.9078399999999998
9.429,0.2457372056850584,0.24010935297070451,-0.0354575154165353,0.9623828125,0.9117799999999998
9.434,0.24619652756484367,0.24126988080145972,-0.034359011596586164,0.9653125,0.9153599999999997
9.439,0.24757449320419944,0.2423824850228141,-0.033255949669499074,0.9683203125000001,0.9189299999999998
9.445,0.2480338150839838,0.24345666056482537,-0.03217567827809731,0.97138671875,0.9223199999999998
9.451,0.24941178072333958,0.24450002116166633,-0.03101791906536988,0.974609375,0.9262499999999998
9.456,0.2512490682424806,0.2456551777209559,-0.029946763888242245,0.9778906250000001,0.9296599999999997
9.462,0.2526270338818355,0.24689998051612977,-0.028738865497010657,0.98119140625,0.9332999999999998
9.467,0.25308635576162075,0.2480801626103692,-0.027626687355652102,0.9844726562500001,0.9367999999999999
9.472,0.25538296516054704,0.24929953083751785,-0.026491718678608223,0.98798828125,0.9403499999999998
9.478,0.2567609307999019,0.2506413251617866,-0.02527470407310517,0.9917968750000001,0.9440299999999997
9.484,0.2581388964392577,0.25199028597687567,-0.02398475975341352,0.9954687500000001,0.9477899999999999
9.489,0.2590575401988282,0.25329949152713044,-0.022790535683593127,0.9987890625,0.9514599999999998
9.494,0.25997618395839783,0.25453131649332283,-0.021760403470695522,1.00306640625,0.9545999999999999
9.5,0.2613541495977536,0.25574659389348403,-0.020429436186772953,1.0070898437500002,0.9584999999999999
9.506,0.2636507589966799,0.2570851078914062,-0.01922609590267932,1.0108984375,0.9621399999999998
9.511,0.26319143711689463,0.25834043452935357,-0.01810935965418281,1.01509765625,0.9654399999999999
9.516,0.2650287246360348,0.2594835535308062,-0.016942484227183918,1.0191015625,0.9689899999999998
9.521,0.26640669027539055,0.26071870372560274,-0.0158576547286442,1.0233007812500001,0.9722599999999999
